Embryo;Cell ID1;Cell ID2;Cell ID3;Cell ID4;Cell ID5;Cell ID6;;;;;;;
B02_px-0280_py+1419;1877;1807;1619;2001;1620;1664;;;;;;;
B02_px+0024_py-1636;2259;2206;2147;2307;2237;2399;;;;;;;
B02_px+1709_py+0973;1485;1681;1311;1627;1576;1603;;;;;;;
C02_px-1126_py+1206;883;799;1161;709;871;1109;;;;;;;
C02_px-0797_py+0598;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;
B02_px-2204_py+0773;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;
C02_px-0209_py-0215;1145;1192;954;1127;1393;884;;;;;;;
C02_px+1838_py+0540;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;
D02_px-1287_py+0560;590;498;739;688;380;824;;;;;;;
D02_px+1438_py+1464;2447;2698;2258;2443;2293;2292;;;;;;;
D03_px+0043_py+1070;3960;3793;3671;3831;3984;3855;;;;;;;
B03_px-0545_py-1946;4325;4362;4585;4563;4657;4068;;;;;;;
C03_px-0480_py-1856;4127;4261;4272;4244;4052;4230;;;;;;;
C03_px+0747_py+1470;2622;2657;2648;2766;2626;2625;;;;;;;
B03_px-1274_py+0062;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;
C03_px+1541_py-0312;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;
D03_px-0596_py-1772;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;
D03_px+0566_py-0422;1707;1718;1731;1733;1799;1675;;;;;;;
C04_px-0816_py-1668;4284;3782;4283;4173;4312;3697;;;;;;;
B04_px+0114_py-1436;4000;4246;4166;4363;4591;4044;;;;;;;
B04_px+1632_py-0222;5603;5489;5493;4913;5731;5756;;;;;;;
C04_px-0926_py+0379;4644;4566;3605;4355;4568;4357;;;;;;;
B04_px-0190_py+2329;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;
B04_px-2301_py-0402;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;
C04_px+0714_py+1638;5916;6240;6566;6265;6175;6241;;;;;;;
C04_px+0882_py-1616;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;
C04_px+1657_py-0538;4450;4207;4409;3981;4488;3945;;;;;;;
D04_px-0512_py-1849;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;
D04_px-1326_py+1186;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;
D04_px+0320_py+0431;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;
D04_px+1315_py+1425;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;
D04_px+2012_py-0725;5886;6425;5839;6071;5883;5809;;;;;;;
B05_px+1522_py-1087;5891;6008;5946;5763;6011;5838;;;;;;;
C05_px+0198_py+1683;5212;5056;5174;4950;5422;4407;;;;;;;
C05_px+0656_py-1139;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;
B05_px-0648_py+0837;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;
B05_px+1541_py+1373;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;
D05_px-0738_py-1248;7493;7553;7492;7243;7348;7460;;;;;;;
B06_px-0493_py+0146;4210;4372;3749;3747;3467;4294;;;;;;;
C06_px+0973_py-0609;4245;4658;4573;4493;4494;4743;;;;;;;
D05_px+1922_py+0876;5846;5618;5810;5655;5971;4920;;;;;;;
D05_px+1761_py-1171;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;
D05_px-0009_py+1354;5156;5030;5380;5061;5319;4026;;;;;;;
D05_px-0512_py+0405;5202;5050;4890;5074;5347;4651;;;;;;;
B06_px-0248_py+1535;4013;4515;3726;4270;4542;4339;;;;;;;
B06_px+1741_py-0693;6841;6560;6795;6639;6958;6715;;;;;;;
B06_px+1748_py+0863;5600;6293;6434;5852;6261;6011;;;;;;;
C06_px+0327_py+1412;5504;5869;5980;6008;5827;5253;;;;;;;
D06_px-1055_py-0118;9070;9128;7754;9726;8243;8394;;;;;;;
D06_px-0377_py-1358;8383;7708;8027;8524;8423;7979;;;;;;;
D06_px+0217_py+1735;4828;4457;5151;4945;4983;4943;;;;;;;
D06_px+1741_py-0131;6555;6812;6556;6969;6289;6811;;;;;;;
D07_px-0500_py+0670;6356;6045;6392;5570;6215;5502;;;;;;;
D07_px+0999_py-1281;4619;4103;4699;4550;5001;4552;;;;;;;
B07_px+1257_py-0474;6485;6919;7266;6300;6799;6838;;;;;;;
B07_px-2056_py-0041;3739;4196;3952;4198;4144;4462;;;;;;;
B07_px+0282_py+1729;7494;7090;7315;7158;7847;6682;;;;;;;
B07_px+0030_py-1959;4377;4416;4075;4221;4111;4156;;;;;;;
C07_px-0784_py-0616;8920;8876;8842;8918;9015;8237;;;;;;;
C07_px+0301_py+1212;4691;4917;4331;5105;4991;5069;;;;;;;
C07_px+1425_py+0902;7564;7308;7041;7621;7745;7485;;;;;;;
C07_px+1929_py-0176;6686;7748;6974;7750;7328;7491;;;;;;;
C07_px+0243_py-1998;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;
B07_px-0202_py+0631;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;
B08_px+1076_py-0189;5756;6708;6455;6282;6366;5830;;;;;;;
C08_px+1263_py+1444;4649;4027;4578;4870;4238;4398;;;;;;;
C08_px+0973_py-0273;4590;4972;4618;4645;4741;4096;;;;;;;
C08_px+0372_py-1474;3881;3884;4527;4760;4797;4888;;;;;;;
C08_px-0571_py+0321;3320;3680;3426;3534;3611;3389;;;;;;;
B08_px-0771_py+0185;5866;6057;6007;6353;6055;6170;;;;;;;
B08_px+0469_py+2478;4471;4303;4474;4331;4333;3997;;;;;;;
B08_px+1160_py-1616;5721;5768;5676;5578;5768;5679;;;;;;;